Id,Name,External_Id,API_Id,NearestCity,County,Coordinates,Lat,Lng,Distance,UcIpmName,WeatherAPI_Id,Active,AllowToDeactivate,AllowToDelete,RegionId,RegionName,MissingRecords
215,Parker #1,508,,Poston,La Paz (northwest),"33.964296,-114.485501",33.964296,-114.485501,0.0,,5,True,True,False,22,Arizona,0
216,Parker #2,535,,Poston,La Paz (northwest),"33.863015,-114.472974",33.863015,-114.472974,0.0,,5,True,True,False,22,Arizona,0
14,Parlier,039,,Parlier,Fresno,"36.6,-119.5",36.6,-119.5,0.0,PARLIER.A,1,True,False,False,13,South San Joaquin Valley,0
234,Paso Robles,265,,Paso Robles,San Luis Obispo,"35.692266,-120.64855",35.692266,-120.64855,0.0,,1,True,False,False,4,Central Coast,0
94,Patterson,161,,Patterson,Stanislaus,"37.44,-121.14",37.44,-121.14,0.0,PATTERSON.A,1,False,False,False,0,,180
217,Payson,532,,Payson,Gila (west),"34.232504,-111.345029",34.232504,-111.345029,0.0,,5,True,False,False,22,Arizona,0
159,Perris,240,,Perris,Riverside,"33.76,-117.2",33.76,-117.2,0.0,,1,True,False,False,14,South Inland,0
168,Pescadero,253,,Pescadero,San Mateo,"37.255333,-122.3708",37.255333,-122.3708,0.0,,1,True,False,False,4,Central Coast,0
78,Petaluma East,144,,Petaluma,Sonoma,"38.27,-122.62",38.27,-122.62,0.0,PETALUMA_EAST.A,1,True,False,False,0,,0
218,Phoenix Encanto,515,,Phoenix,Maricopa (northeast central),"33.478443,-112.098046",33.478443,-112.098046,0.0,,5,True,False,False,22,Arizona,0
219,Phoenix Greenway,512,,Phoenix,Maricopa (northeast central),"33.623279,-112.107687",33.623279,-112.107687,0.0,,5,True,True,False,22,Arizona,0
176,PIONEER CORN HOBO,404,20173020,Waialua,O'ahu,"21.5695,-158.1561",21.5695,-158.1561,0.0,,3,False,True,False,19,Hawaii -- O'ahu,180
179,PIONEER GAY CAMPBELL,407,PH1,Waialua,O'ahu,"21.568543,-158.155975",21.568543,-158.155975,0.0,,6,True,False,False,19,Hawaii -- O'ahu,24
182,PIONEER HELENANO CAMPBELL,410,PH2,Waialua,O'ahu,"21.565335,-158.097097",21.565335,-158.097097,0.0,,6,True,False,False,19,Hawaii -- O'ahu,0
116,Pleasanton,191,,Pleasanton,Alameda,"37.66,-121.89",37.66,-121.89,0.0,Pleasanton,1,True,False,False,0,,0
149,Plymouth,227,,Plymouth,Amador,"38.51,-120.8",38.51,-120.8,0.0,Plymouth.A,1,True,False,False,11,Sierra Foothills,0
90,Point San Pedro,157,,San Rafael,Marin,"37.99,-122.47",37.99,-122.47,0.0,Point_San_Pedro.A,1,True,False,False,0,,0
31,Pomona,078,,Pomona,Los Angeles,"34.06,-117.81",34.06,-117.81,0.0,POMONA.A,1,True,False,False,0,,0
99,Porterville,169,,Porterville,Tulare,"36.08,-119.09",36.08,-119.09,0.0,PORTERVILLE.A,1,True,False,False,0,,180
220,Queen Creek,522,,San Tan Valley,Maricopa(southeast),"33.193943,-111.532582",33.193943,-111.532582,0.0,,5,True,True,False,22,Arizona,0
196,Ridgecrest,257,,Ridgecrest,Kern,"35.659128,-117.636925",35.659128,-117.636925,0.0,,1,True,False,False,13,South San Joaquin Valley,0
85,Ripley,151,,Blythe,Riverside,"33.53,-114.63",33.53,-114.63,0.0,RIPLEY.A,1,True,False,False,12,Desert Region,0
166,Ripon,249,,Manteca,San Joaquin,"37.755597,-121.266153",37.755597,-121.266153,0.0,,1,True,False,False,8,Delta,0
221,Roll,524,,Roll,Yuma (central),"32.762855,-113.967463",32.762855,-113.967463,0.0,,5,True,True,False,22,Arizona,0
164,Ryde,243,,Walnut Grove,Sacramento ,"38.249622,-121.555528",38.249622,-121.555528,0.0,,1,True,False,False,8,Delta,0
222,Safford,504,,Safford,Graham (southwest central),"32.812972,-109.679263",32.812972,-109.679263,0.0,,5,True,False,False,22,Arizona,0
223,Sahuarita,538,,Sahuarita,Pima,"31.924618,-110.949831",31.924618,-110.949831,0.0,,5,True,False,False,22,Arizona,0
54,Salinas North,116,,Salinas,Monterey,"36.72,-121.69",36.72,-121.69,0.0,NSALINAS.A,1,True,False,False,4,Central Coast,0
39,Salinas South,089,,Salinas,Monterey,"36.61,-121.53",36.61,-121.53,0.0,SALINAS.A,1,False,False,False,4,Central Coast,180
139,Salinas South II,214,,Salinas,Monterey,"36.625622974866,-121.537927858754",36.62562297486596,-121.53792785875372,0.0,,1,True,False,False,4,Central Coast,0
224,Salome,541,,Weden,Weden,"33.848468,-113.539761",33.848468,-113.539761,0.0,,5,True,True,False,22,Arizona,0
64,Salton Sea East,128,,Niland,Imperial,"33.22,-115.58",33.22,-115.58,0.0,NILAND.A,1,False,True,False,0,,180
63,Salton Sea West,127,,Salton City,Imperial,"33.33,-115.95",33.33,-115.95,0.0,SALTNCTY.A,1,False,True,False,0,,180
62,San Benito,126,,Hollister,San Benito,"36.85,-121.36",36.85,-121.36,0.0,HOLLISTR.A,1,True,False,False,4,Central Coast,0
160,San Clemente,241,,San Clemente,Orange County,"33.4625,-117.586111",33.4625,-117.586111,0.0,none,1,True,False,False,3,South Coast,0
110,San Diego II,184,,San Diego,San Diego,"32.73,-117.14",32.73,-117.14,0.0,SAN_DIEGO.A,1,True,False,False,0,,0
77,San Juan Valley,143,,Hollister,San Benito,"36.82,-121.47",36.82,-121.47,0.0,SJ_VALLEY.A,1,True,False,False,4,Central Coast,0
19,San Luis Obispo,052,,San Luis Obispo,San Luis Obispo,"35.31,-120.66",35.31,-120.66,0.0,SNLUIS_O.A,1,True,False,False,4,Central Coast,0
93,San Luis Obispo West,160,,San Luis Obispo,San Luis Obispo,"35.34,-120.73",35.34,-120.73,0.0,SAN_LUIS_OBISPO_W.A,1,True,False,False,4,Central Coast,0
