Id,Name
22116,"Cropley silty clay, 0 to 2 percent slopes"
22127,"Rincon clay loam, 0 to 2 percent slopes, MLRA 14"
22128,"Rincon clay loam, 0 to 2 percent slopes, MLRA 14"
22130,"Rincon clay loam, 0 to 2 percent slopes, MLRA 14"
22131,"Rincon clay loam, 0 to 2 percent slopes, MLRA 14"
22152,Pico fine sandy loam
22153,Pico fine sandy loam
22154,Pico fine sandy loam
22155,Pico fine sandy loam
22156,Pico fine sandy loam
22157,Pico fine sandy loam
22158,Pico fine sandy loam
22159,Pico fine sandy loam
22160,Pico fine sandy loam
22161,Pico fine sandy loam
22162,Pico fine sandy loam
22164,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22165,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22166,Pico fine sandy loam
22167,Pico fine sandy loam
22173,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
22187,"Danville sandy clay loam, 0 to 2 percent slopes"
22197,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
22198,"Chualar loam, 0 to 2 percent slopes"
22202,"Cropley silty clay, 0 to 2 percent slopes"
22203,"Cropley silty clay, 0 to 2 percent slopes"
22208,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22233,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22234,"Danville sandy clay loam, 0 to 2 percent slopes"
22235,"Danville sandy clay loam, 0 to 2 percent slopes"
22633,"Oceano loamy sand, 2 to 15 percent slopes"
22739,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22749,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
22835,"Rincon clay loam, 0 to 2 percent slopes, MLRA 14"
22836,"Rincon clay loam, 0 to 2 percent slopes, MLRA 14"
22837,"Rincon clay loam, 0 to 2 percent slopes, MLRA 14"
22884,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
22885,Mocho silt loam
22887,Mocho silt loam
22889,Mocho silt loam
22890,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22891,Xerorthents loamy
22892,Xerorthents loamy
22893,Mocho silt loam
22894,Mocho silt loam
22895,Mocho silt loam
22896,Mocho silt loam
22897,Salinas clay loam
22898,Salinas clay loam
22899,Salinas clay loam
22900,Salinas clay loam
22901,Salinas clay loam
22902,Salinas clay loam
22903,Salinas clay loam
22904,Mocho silt loam
22905,Cropley silty clay
22906,Mocho silt loam
22907,Cropley silty clay
22911,Salinas clay loam
22912,Salinas clay loam
22913,Salinas clay loam
22918,"Danville sandy clay loam, 0 to 2 percent slopes"
22919,"Danville sandy clay loam, 0 to 2 percent slopes"
22920,"Chualar loam, 0 to 2 percent slopes"
22921,"Chualar loam, 0 to 2 percent slopes"
22922,"Cropley silty clay, 0 to 2 percent slopes"
22924,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
22925,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
22961,Pacheco fine sandy loam
22981,Pacheco fine sandy loam
22990,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
23011,"Salinas clay loam, 0 to 2 percent slopes"
23044,Pacheco fine sandy loam
23050,Pacheco fine sandy loam
23054,Salinas clay loam
23057,Cropley silty clay
23058,Mocho silt loam
23060,Cropley silty clay
23061,Salinas clay loam
23062,Salinas clay loam
23407,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
23506,"Yolo silt loam, 0 to 2 percent slopes, MLRA 17"
23533,"Yolo silty clay loam, 2 to 9 percent slopes"
23666,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
